config,trades,trades_pct,total_pnl,avg_pnl,win_rate,total_return,improvement,improvement_pct,sharpe,profit_factor
Movement >= 5%,18,54.54545454545454,191.80483730222883,10.65582429456827,0.7222222222222222,1.9180483730222841,224.25303395125525,691.1109309921658,1.8707573746843231,2.5865738971862617
Conf 72% + Move 5%,10,30.303030303030305,161.6447220817022,16.16447220817022,0.9,1.6164472208170264,194.09291873072863,598.162421259094,4.118044995448163,11.443066763907975
Conf 72% + Move 4%,16,48.484848484848484,65.1496809880895,4.071855061755594,0.5625,0.6514968098809004,97.59787763711591,300.78059096095944,0.8625266421813645,1.581830179728425
Conf 72% + ROC > 0,3,9.090909090909092,52.252565757033466,17.417521919011154,1.0,0.5225256575703315,84.70076240605988,261.0338051208811,11.510819009207916,inf
Conf 72% + Move 4% + ROC,3,9.090909090909092,52.252565757033466,17.417521919011154,1.0,0.5225256575703315,84.70076240605988,261.0338051208811,11.510819009207916,inf
Conf 72% + Move 5% + ROC,3,9.090909090909092,52.252565757033466,17.417521919011154,1.0,0.5225256575703315,84.70076240605988,261.0338051208811,11.510819009207916,inf
ROC(20) > 0,6,18.181818181818183,29.69779733675096,4.949632889458493,0.6666666666666666,0.29697797336750226,62.14599398577738,191.52372212845924,0.5525626412080903,1.6425526159335022
Move 4% + ROC > 0,6,18.181818181818183,29.69779733675096,4.949632889458493,0.6666666666666666,0.29697797336750226,62.14599398577738,191.52372212845924,0.5525626412080903,1.6425526159335022
Move 5% + ROC > 0,6,18.181818181818183,29.69779733675096,4.949632889458493,0.6666666666666666,0.29697797336750226,62.14599398577738,191.52372212845924,0.5525626412080903,1.6425526159335022
Liquidity Risk < 50,20,60.60606060606061,26.362104854283984,1.3181052427141993,0.4,0.2636210485428455,58.810301503310406,181.2436670654699,0.25396171109321664,1.137194194447821
Confidence >= 72%,20,60.60606060606061,22.305713837428556,1.1152856918714278,0.45,0.22305713837427904,54.75391048645498,168.7425377708866,0.27903539548776696,1.1440773104710444
Move 4% + ROC + Liq,3,9.090909090909092,16.07189675095487,5.3572989169849565,0.6666666666666666,0.16071896750954692,48.52009339998129,149.5309398078278,0.38382713580256483,1.7289865559462638
🏆 ALL FILTERS (Conf 72% + Move 4% + ROC + Liq),1,3.0303030303030303,14.45510163786352,14.45510163786352,1.0,0.14455101637862755,46.90329828688994,144.54824344852221,0.0,inf
Movement >= 4%,29,87.87878787878788,10.395770501634523,0.3584748448839491,0.4482758620689655,0.10395770501634616,42.843967150660944,132.03805319007284,0.08332178162222233,1.034388745128206
Conf 72% + Move 4% + Liq,9,27.27272727272727,4.362766368352837,0.48475181870587075,0.4444444444444444,0.043627663683528224,36.81096301737926,113.44532768813744,0.07274321017170955,1.055522060627842
Conf 72% + Liq < 50,11,33.33333333333333,-20.212205212025978,-1.8374732010932708,0.36363636363636365,-0.20212205212026677,12.235991437000443,37.7093111501701,-0.3268620038660068,0.8040544287068202
Baseline (No Filters),33,100.0,-32.44819664902642,-0.983278686334134,0.3939393939393939,-0.32448196649025707,0.0,0.0,-0.2567894656446385,0.9059869061727573
