config,trades_taken,trades_rejected,total_pnl,avg_pnl,win_rate,final_equity,total_return,improvement
No Filters (Baseline),33,0,-32.44819664902642,-0.983278686334134,0.3939393939393939,9967.551803350974,-0.32448196649025707,0.0
80% Confidence Only,0,33,0.0,0.0,0.0,10000.0,0.0,32.44819664902642
2% Movement Only,33,0,-32.44819664902642,-0.983278686334134,0.3939393939393939,9967.551803350974,-0.32448196649025707,0.0
80% Conf + 2% Move,0,33,0.0,0.0,0.0,10000.0,0.0,32.44819664902642
ROC(20) Only,23,10,-33.08217566891311,-1.4383554638657874,0.34782608695652173,9966.917824331087,-0.33082175668912894,-0.6339790198866879
80% + 2% + ROC(20),0,33,0.0,0.0,0.0,10000.0,0.0,32.44819664902642
