indicator,trades_bullish,trades_bearish,avg_pnl_bullish,avg_pnl_bearish,win_rate_bullish,win_rate_bearish,total_pnl_bullish,total_pnl_bearish,improvement,score
ROC(20) > 0,5,27,3.4431787380708885,-1.4748357804288375,0.6,0.37037037037037035,17.21589369035444,-39.82056607157861,49.66409033938086,64.81560549089602
RSI(21) > 40,12,20,-0.34193827186325504,-0.9250706559432563,0.5,0.35,-4.10325926235906,-18.501413118865127,28.34493738666736,64.70857375030373
RSI(14) > 40,18,14,-2.5844322899302714,1.708222059822908,0.3888888888888889,0.42857142857142855,-46.51978121874488,23.915108837520712,-14.07158456971846,40.47386997573608
CCI(14) > -100,18,14,-2.5844322899302714,1.708222059822908,0.3888888888888889,0.42857142857142855,-46.51978121874488,23.915108837520712,-14.07158456971846,40.47386997573608
SMA(10) > SMA(20),7,25,-3.490958563475502,0.07328150252417373,0.42857142857142855,0.4,-24.436709944328513,1.8320375631043433,8.011486704697909,29.22360791681912
RSI(28) > 40,5,27,-6.497519131283913,0.3660341953776073,0.4,0.4074074074074074,-32.487595656419565,9.882923275195397,-0.03939900739314339,15.112116144122009
CCI(20) > 100,1,31,-22.04690418480034,-0.01799252246528482,0.0,0.41935483870967744,-22.04690418480034,-0.5577681964238295,10.401292464226081,13.431595494529113
"BB(10,2.5) Upper Half",2,30,-15.105055680878912,0.25351463268445495,0.0,0.43333333333333335,-30.210111361757825,7.605438980533648,2.2380852872685963,8.298691347874657
SMA(5) > SMA(10),11,21,-5.3669126238814435,1.7348269753081758,0.36363636363636365,0.42857142857142855,-59.036038862695875,36.43136648147169,-26.587842213669454,6.745491119663875
"BB(20,1.5) Upper Half",2,30,-18.389175748688444,0.472455970538424,0.0,0.43333333333333335,-36.77835149737689,14.17367911615272,-4.3301548483504675,1.730451212255593
"BB(20,2.0) Upper Half",2,30,-18.389175748688444,0.472455970538424,0.0,0.43333333333333335,-36.77835149737689,14.17367911615272,-4.3301548483504675,1.730451212255593
Stoch(21) > 60,2,30,-18.389175748688444,0.472455970538424,0.0,0.43333333333333335,-36.77835149737689,14.17367911615272,-4.3301548483504675,1.730451212255593
Williams%R(21) > -40,2,30,-18.389175748688444,0.472455970538424,0.0,0.43333333333333335,-36.77835149737689,14.17367911615272,-4.3301548483504675,1.730451212255593
Stoch(21) > 40,7,25,-7.518853645132936,1.2010921253882554,0.2857142857142857,0.44,-52.631975515930556,30.027303134706383,-20.183778866904134,1.0283423452170766
Williams%R(21) > -60,7,25,-7.518853645132936,1.2010921253882554,0.2857142857142857,0.44,-52.631975515930556,30.027303134706383,-20.183778866904134,1.0283423452170766
CCI(14) > 100,2,30,-18.762784116990808,0.4973631950919149,0.0,0.43333333333333335,-37.525568233981616,14.920895852757447,-5.077371584955195,0.9832344756508657
RSI(14) > 60,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSI(21) > 60,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSI(28) > 60,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMA(20) > SMA(50),0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMA(10) > SMA(30),0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BB(20,2.5) Upper Half",0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSI(7) > 40,23,9,-4.531658300500747,9.069274281143667,0.34782608695652173,0.5555555555555556,-104.22814091151719,81.623468530293,-71.77994426249077,-2.08297456552107
RSI(28) > 50,2,30,-20.946170705273214,0.6429223009774087,0.0,0.43333333333333335,-41.89234141054643,19.28766902932226,-9.444144761520008,-3.383538700913947
"BB(10,2.0) Upper Half",3,29,-16.129241775927895,0.8890707912606722,0.0,0.4482758620689655,-48.387725327783684,25.783052946559494,-15.939528678757263,-6.848619587848171
CCI(20) > -100,11,21,-7.085262443720206,2.634914976176098,0.36363636363636365,0.42857142857142855,-77.93788688092226,55.33321449969806,-45.48969023189584,-12.156356898562514
Stoch(21) > 50,3,29,-18.16637645818315,1.0998088618388029,0.0,0.4482758620689655,-54.499129374549454,31.894456993325285,-22.050932725523033,-12.960023634613941
Williams%R(21) > -50,3,29,-18.16637645818315,1.0998088618388029,0.0,0.4482758620689655,-54.499129374549454,31.894456993325285,-22.050932725523033,-12.960023634613941
"BB(10,1.5) Upper Half",4,28,-17.608657378146006,1.7082127546914223,0.0,0.4642857142857143,-70.43462951258402,47.829957131359826,-37.9864328635576,-25.865220742345482
"BB(20,1.5) Above Middle",8,24,-10.429324425608854,2.534580125985276,0.25,0.4583333333333333,-83.43459540487083,60.82992302364663,-50.98639875584441,-26.74397451342017
"BB(20,2.0) Above Middle",8,24,-10.429324425608854,2.534580125985276,0.25,0.4583333333333333,-83.43459540487083,60.82992302364663,-50.98639875584441,-26.74397451342017
"BB(20,2.5) Above Middle",8,24,-10.429324425608854,2.534580125985276,0.25,0.4583333333333333,-83.43459540487083,60.82992302364663,-50.98639875584441,-26.74397451342017
CCI(20) > 0,8,24,-10.429324425608854,2.534580125985276,0.25,0.4583333333333333,-83.43459540487083,60.82992302364663,-50.98639875584441,-26.74397451342017
ROC(10) > 0,10,22,-8.992232084994864,3.059893112214748,0.3,0.45454545454545453,-89.92232084994863,67.31764846872446,-57.47412420092221,-27.171093897891907
Momentum(10) > 0,10,22,-8.992232084994864,3.059893112214748,0.3,0.45454545454545453,-89.92232084994863,67.31764846872446,-57.47412420092221,-27.171093897891907
